Log Temperatura (K),Log Delta T
-2.330160390035093,-5.038135323224707
-1.8928718888305383,-5.059443460480204
-1.6793241454579535,-5.081200059244398
-1.5363388478110507,-5.103320717664767
-1.4283788605979164,-5.1258748816941395
-1.3429687840063722,-5.148738485047548
-1.2715553466992608,-5.172033690084535
-1.2102435247402616,-5.195738743920159
-1.1567308171380974,-5.219950811814722
-1.1086545897312339,-5.2445711649090905
-1.0653374389709647,-5.269748389825521
-1.02600392361712,-5.29513626527637
-0.9901056758900222,-5.321233571069245
-0.9569311401174231,-5.347846974096072
-0.925974489868082,-5.374999054715246
-0.8970845687975019,-5.402749274945846
-0.8700876325060575,-5.43105974774841
-0.8446353754405634,-5.459764520357564
-0.8206355159212159,-5.489275417935192
-0.798018668691598,-5.519450305723103
-0.7762921356528345,-5.550173785557075
-0.7556403887606031,-5.5815952881781055
-0.7359825360561476,-5.613825588806235
-0.7170894649235017,-5.646820929007139
-0.6991053805673569,-5.6806459560654625
-0.6818242723744274,-5.7152003393595345
-0.6650938114819029,-5.750765152505256
-0.6489823386875258,-5.78742321618777
-0.6334762197970739,-5.825162383258329
-0.6185484279518739,-5.863826015618149
-0.6041084726565807,-5.903647709155084
-0.5901436492047877,-5.94444392135497
-0.5766087079762139,-5.9868136866943695
-0.5634352408344339,-6.030601058607538
-0.5507230888576776,-6.0756284459464975
-0.5383563055285933,-6.122534712784472
-0.5263402179437674,-6.17198023626509
-0.5146519086411006,-6.222974947683169
-0.5032028802588152,-6.275471527830614
-0.4920803672401651,-6.331639851330508
-0.4811567060706546,-6.3903996609547695
-0.4705886208370611,-6.4514122441096795
-0.4602909655786373,-6.517501111321104
-0.4501529524637853,-6.586682582161845
-0.4403817838106901,-6.6598307841223585
-0.4307865945786568,-6.740222669311545
-0.42127968208210553,-6.824472254036726
-0.4120842421866543,-6.916640492069707
-0.40311006646631437,-7.018440819610751
-0.3942200608584491,-7.129153287743449
-0.3855306073365059,-7.258931803967563
-0.3769999423624998,-7.404352251766899
-0.36865328290246496,-7.568349119467682
-0.36047524784948604,-7.768678334498697
-0.35245372880447584,-8.039079654426429
-0.3445765495565627,-8.634686638032353
-0.0535740924279115,-9.601713139977607
-0.04955790969480945,-10.005511219721013
-0.04555232385699743,-9.823605574670891
-0.041643048303572384,-9.547189255168
-0.037798193468724296,-9.985598576876257
-0.03396923148439718,-9.61873557690542
-0.030160362537416777,-9.984496607456824
-0.02639708628130885,-9.254960873956868
-0.022656476415178043,-9.129043901881715
-0.0189306261738881,-9.32895351272998
-0.015260961014004863,-9.164862025026606
-0.01160642599231039,-9.354873756499195
-0.007958963019434967,-9.840258708028191
-0.004395199464670186,-9.545414052456975
-0.0008423868642431157,-8.9894809997213
0.002697650067194872,-9.093095999626222
0.006195087915696273,-9.128837816675281
0.009680196953255739,-9.142281784992157
0.013122939688247095,-9.242332316421392
0.016542382166582388,-9.197295735723426
0.019947024924478536,-8.945488021627199
0.0233227742133109,-9.357572094080362
0.026643350990338866,-9.257998721682974
0.029938150615937263,-8.951480217157574
0.03323882028155731,-8.96755771197039
0.03650024082055311,-9.128706142994261
0.03975142500025748,-9.02573456279286
0.04297533871920216,-9.340196610549302
0.04616226218324509,-9.00180228676296
0.04934533885589529,-8.960315934789492
0.05250046032841678,-9.088035701404378
0.05563163510238118,-9.236434359886807
0.05872508137692786,-8.946747734650044
0.06179364511654182,-8.95432818039515
0.06486081373416452,-9.20333505039095
0.06790860143172656,-9.211800048498505
0.07090398838253233,-9.225214170460326
0.07388218947990281,-9.107623142226078
0.0768647241541758,-9.384250236154003
0.07982524977363727,-9.158702454323183
0.08276470182395988,-9.19456297527627
0.08568727988902713,-9.432558648457835
0.08858502655535809,-9.006149922924468
0.09145878842213946,-9.055010007188535
