Temperatura (K),Delta T
-0.16697750195327327,2134122670.9659772
-0.15884634945810236,2249060594.2094865
-0.15062003401084442,2396926706.779057
-0.14231388136351772,2571807744.2485423
-0.13400645157018834,2769410457.998247
-0.12572702553919382,2987699547.5883694
-0.11751077151043676,3228018975.99267
-0.10933825194476794,3491534156.2292776
-0.10119012275274451,3780578064.7763715
-0.09305348787473602,4098384738.876055
-0.08487931736423635,4448201579.052376
-0.07666144354055011,4834519964.947434
-0.0684889239748814,5260379880.600733
-0.060438325127535567,5726752724.125099
-0.052340004629583284,6244649737.62948
-0.04420455344787001,6819410031.36166
-0.03608047198056558,7458596290.600291
-0.027919259829496796,8168493489.460406
-0.01971920375003213,8957259519.87057
-0.011514599784804532,9838649355.099993
-0.0033965302486773552,10820385846.903051
0.004675624331187464,11919846053.053146
0.012797587605123548,13148824262.74681
0.02092550051043621,14534500744.638237
0.02908446986852381,16093163936.079844
0.03729246917312254,17854585131.222588
0.04539742460030408,19837044615.40872
0.05351119544988739,22083473283.78012
0.06162493514956844,24630741586.116802
0.0697058428520311,27536048862.066765
0.07786555980777868,30841985582.9197
0.08603250354090375,34633531647.82266
0.09418810870952386,38928935708.30194
0.10230440270120908,43900265031.22373
0.11042536917826648,49624249099.04338
0.11858384013791469,56233887721.30155
0.12674050440321902,63899660373.647705
0.13486907145648397,72798007964.59514
0.14300941317288635,83086227553.93735
0.1511348029360972,95181125482.84633
0.15921402854382524,109370604234.31784
0.16738165757480475,125993334826.9736
0.17553333785571232,145609790278.09647
0.18366121961112145,168908372605.40152
0.19182735344677984,196626413650.82193
0.19993766665718785,229769252901.86777
0.2080538360492636,269401915129.6163
0.21622514076873509,317344009833.3286
0.22439731768547752,375704530727.70496
0.23255398195078164,447017748201.53094
0.2406864115919537,534136223171.34064
0.2488235760183036,641645892260.327
0.2569545727639614,774261817547.1593
0.26508874679967187,941081797626.1287
0.2732528870415727,1151336086983.7068
0.2813694302324766,1416631491577.7378
0.28949675128964264,1758204655066.9878
0.2976184030645542,2207803779812.1763
0.30573706444882826,2792221683528.6255
0.31390419508136685,3555846915370.417
0.3220472779891881,4605530923211.428
0.3302503556091958,6036696222389.128
0.33838521494276047,7995110826482.406
0.3465046239246944,10839324613812.885
0.35468845090496476,14906138917870.547
