Temperatura (K),Delta
50.2911014556885,44911.22495425078
50.5766639709473,45373.86272962296
51.0070400238037,46196.56557544053
51.5049209594727,47424.26166224928
52.0086288452148,48958.418140081456
52.5172252655029,50712.99384032205
53.025899887085,52625.188436700606
53.5328598022461,54659.853161057516
54.0359516143799,56815.657841766384
54.5363655090332,59089.20507359426
55.035285949707,61486.405528184616
55.5335025787354,64018.628061495154
56.0340175628662,66694.83922352895
56.5372085571289,69530.71238630764
57.0376224517822,72528.47634274921
57.5305709838867,75675.31119278664
58.0264415740967,79023.09622907394
58.524585723877,82579.71924971446
59.0220336914062,86363.16512611318
59.5217552185059,90379.71835240696
60.0238552093506,94642.79961978391
60.5262336730957,99189.96600009495
61.0233135223389,104021.0836652986
61.5175819396973,109178.0474869062
62.0149002075195,114668.3228391643
62.5125827789307,120559.11721905663
63.0121669769287,126858.83467886595
63.5147533416748,133621.0504794158
64.0110301971436,140844.0435922255
64.5078468322754,148605.09171552677
65.0046615600586,156941.8414130432
65.4994659423828,165939.89532980538
65.999095916748,175618.86454171062
66.4991683959961,186100.86417806518
66.9985466003418,197304.1705294187
67.4955177307129,209523.9008591233
67.9927749633789,222765.00869535902
68.4923286437988,237136.85441386278
68.991771697998,252783.82142385558
69.4894943237305,269811.0597521813
69.9879379272461,288246.8170751194
70.485466003418,308514.38456390705
70.980167388916,330712.2680432612
71.480281829834,354955.39836291206
71.979419708252,381588.50910122605
72.4771003723145,410984.63791898784
72.977123260498,443425.7701699597
73.4737281799316,479342.52148319554
73.9706916809082,519039.41577650566
74.4710311889648,563332.9475836902
74.9714241027832,612947.4126935401
75.4708671569824,668593.858931961
75.9688262939453,730846.237707591
76.4670753479004,801028.0221442487
76.9649467468262,879921.4837399751
77.4630126953125,970093.7055904077
77.9629135131836,1073003.3024104384
78.4598999023437,1190223.2948391398
78.9575462341309,1325973.0974144943
79.4548454284668,1485868.0223398632
79.951961517334,1670994.2200763668
80.4520454406738,1885695.340019277
80.9506568908691,2146050.0747213303
81.4529418945313,2456968.9095283905
81.9510498046875,2827562.700716362
82.4482116699219,3292312.9580604704
82.9493179321289,3860846.9171764045
83.443489074707,4569101.272265246
83.9397010803223,5498227.039704287
84.4422798156738,6675322.526742832
84.9389724731445,8253544.402868026
85.4339599609375,10433759.44410833
85.9344940185547,13463354.701761508
86.4337387084961,18152305.9987261
86.9336738586426,25371856.81249278
87.4324226379395,37012559.57791862
87.9304809570312,58705438.24831868
88.4282035827637,109415702.84082581
